_id,OBJECTID,PROJ_NUM,LAST_UPDATED_DATE,PROJECT,LOCATION,DETAILS,DURATION/ Construction Timeline,STATUS,INV_PRIORITY,OWNER,CONTACT_NAME,CONTACT_EMAIL,INV_WEB_SITE,INV_DISPLAY_PROGRAM,INV_DISPLAY_SYMBOL,START_YEAR,CONTR_NUMBER,geometry
1,1784866, ,2021-04-12,Local Road Reconstruction,MILITARY TRL<br> From: ELLESMERE RD<br> To: EAST HIGHLAND CREEK ,"Replacement of the entire road pavement structure, including the asphalt and underlying support materials. Repair, improvement, or replacement of: road drainage, curbs, boulevards and sidewalks. Work may include the closure of individual lanes or the entire road.  Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q1 2022 - Q3 2024 (Carry-Over),Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Steven Bertolo, Engineering and Construction Services",sbertol@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2021,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.2171425869619, 43.7797525911282], [-79.2172054231109, 43.7798897801554], [-79.2172618651245, 43.7800130285459], [-79.2172988676535, 43.780093500359], [-79.2173281899266, 43.7801560948803], [-79.2173465622082, 43.7802276814674], [-79.2173509875124, 43.7802904214334], [-79.2173631522376, 43.7803532345448], [-79.217363693422, 43.7804071347748], [-79.2173571682355, 43.7804789568231], [-79.2173460391378, 43.7805417663338], [-79.217326417551, 43.7805955716908], [-79.2173114170927, 43.7806494514819], [-79.2172956333036, 43.7807034643502], [-79.217279836596, 43.7807575761964], [-79.2172578276505, 43.780811789687], [-79.2172388999469, 43.7808659477879], [-79.2172160251013, 43.7809378013812], [-79.2171947165617, 43.7810094428172], [-79.2171733827422, 43.781081165196], [-79.2171615422584, 43.7811261506452], [-79.2171426644853, 43.7811802188391], [-79.2171345648972, 43.7812433418581], [-79.2171280731657, 43.7812974497034], [-79.2171239299592, 43.7813514553467], [-79.2171236450957, 43.7814145076927], [-79.2171311248896, 43.7814775792555], [-79.2171339212642, 43.7815405942202], [-79.2171382641291, 43.7815944408408], [-79.2171433293577, 43.7816663545543], [-79.2171569664363, 43.7817383704903], [-79.2171721795321, 43.7817923250184], [-79.2171893778909, 43.7818547275337], [-79.2172072972751, 43.7819170418184], [-79.2172370969877, 43.7819707623922], [-79.2172779767934, 43.782024888415], [-79.2173119417115, 43.7820700321761], [-79.2173405515638, 43.7821152796981], [-79.217378526901, 43.7821425030698], [-79.2174474764815, 43.7821878053032], [-79.2174954482687, 43.7822239554838], [-79.2175449538758, 43.7822509912717], [-79.2175834411329, 43.7822777117756], [-79.2176093076736, 43.7823040500395], [-79.2176428897774, 43.7823303083462], [-79.2176824875901, 43.7823929821442], [-79.2177006729781, 43.7824200305062], [-79.2177267546203, 43.7824561265182], [-79.2177400525552, 43.7824921459481], [-79.2177549791368, 43.7825464147243], [-79.2177566352935, 43.7825931437707], [-79.2177474628607, 43.7826388109434], [-79.2177256224113, 43.7826729973695], [-79.217703832437, 43.7826990918845], [-79.2176712122783, 43.782735015899], [-79.2176277659243, 43.7827799143043], [-79.2175847526409, 43.7828251738087], [-79.2175221490055, 43.782891078517], [-79.2174727102193, 43.7829262498139], [-79.2173183468634, 43.783033593854], [-79.2172000006983, 43.7831249687629], [-79.2171161885595, 43.7832066987883], [-79.2170426411406, 43.7832694077385], [-79.2169586073026, 43.7833137733392], [-79.2168539815298, 43.783385577366], [-79.2167740877602, 43.7834213749942], [-79.2166983141059, 43.7834660309057], [-79.2166161545103, 43.783510661932], [-79.2164667188975, 43.7835920487226], [-79.2163552888671, 43.783654870268], [-79.2162462067663, 43.7837176885321], [-79.2161471429247, 43.7837821427778], [-79.216059960995, 43.78383510499], [-79.2156789478982, 43.7840665583619]]]}"
2,1785166, ,2021-04-12,Local Road Reconstruction,THE KINGSWAY (N)<br> From: DUNDAS ST [RAMP G]<br> To: LAMBETH RD ,"Replacement of the entire road pavement structure, including the asphalt and underlying support materials. Repair, improvement, or replacement of: road drainage, curbs, boulevards and sidewalks. Work may include the closure of individual lanes or the entire road.  Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q4 2021 - Q2 2024 (Carry-Over),Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Lucas Da Costa, Engineering and Construction Services",ldacost@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2021,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.5192295701625, 43.6580483290164], [-79.5191465294085, 43.6582103942419], [-79.5190683957878, 43.6584441633269], [-79.5190403597176, 43.6586285696233], [-79.5189925692403, 43.65891902407], [-79.5189370433764, 43.6591752926463], [-79.5188586943168, 43.6594007443395], [-79.5186381156228, 43.6599662271059], [-79.5186119236932, 43.6603072293588]]]}"
3,1785543, ,2021-04-12,Laneway Reconstruction,[33.20 m N] DOUGLAS AVE<br> From: JEDBURGH RD<br> To: GREER RD ,"Replacement of the entire laneway pavement structure, including the asphalt, concrete and underlying support materials. Repair, improvement, or replacement of laneway drainage, curbs, and associated areas. Work may include the closure of individual lanes or the entire laneway. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q3 2024 - Q3 2025 (Carry-Over),Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Marfique Ahmed, Engineering and Construction Services",mahmed2@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2024,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.4063354943867, 43.7262409379777], [-79.4095119643438, 43.725568889742]]]}"
4,1785575, ,2021-04-12,Laneway Reconstruction,[32 m E] ST CLARENS AVE<br> From: COLLEGE ST (TO)<br> To: [27.80 m N] COLLEGE ST (TO) ,"Replacement of the entire laneway pavement structure, including the asphalt, concrete and underlying support materials. Repair, improvement, or replacement of laneway drainage, curbs, and associated areas. Work may include the closure of individual lanes or the entire laneway. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q2 2026 - Q4 2026,Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Augustine Anifowose, Engineering and Construction Services",aanifow@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2026,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.4382658698794, 43.6514385788415], [-79.4383769880856, 43.6517237208411]]]}"
5,1785956, ,2021-04-12,Local Road Reconstruction,CLUESON PARK RD<br> From: [63 m E] GRENVIEW BLVD [CUL-DE-SAC]<br> To: GRENVIEW BLVD ,"Replacement of the entire road pavement structure, including the asphalt and underlying support materials. Repair, improvement, or replacement of: road drainage, curbs, boulevards and sidewalks. Work may include the closure of individual lanes or the entire road.  Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q4 2021 - Q2 2024 (Carry-Over),Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Lucas Da Costa, Engineering and Construction Services",ldacost@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2021,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.5019103400789, 43.6357339848196], [-79.5011710561479, 43.6358913119773]]]}"
6,1785972, ,2021-04-12,Local Road Reconstruction,SOUTH KINGSLEA DR<br> From: IVY LEA CRES<br> To: KINGSLEA CRT ,"Replacement of the entire road pavement structure, including the asphalt and underlying support materials. Repair, improvement, or replacement of: road drainage, curbs, boulevards and sidewalks. Work may include the closure of individual lanes or the entire road.  Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q4 2021 - Q2 2024 (Carry-Over),Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Lucas Da Costa, Engineering and Construction Services",ldacost@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2021,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.5004946420332, 43.6406937603926], [-79.5002645991889, 43.6407297666629], [-79.5000999994084, 43.640761262742], [-79.5000252477492, 43.6407747828504], [-79.4999326850432, 43.640792776585], [-79.4998242448089, 43.6408152799108], [-79.4997506580748, 43.6408377832151], [-79.4996522944434, 43.6408692877755], [-79.4995577977916, 43.6409052929543], [-79.4994602023344, 43.6409457987283], [-79.4993606856279, 43.6409818037199], [-79.4992503109992, 43.64102680993], [-79.4991228809902, 43.6410853179677], [-79.4990524045787, 43.6411168222211], [-79.4989641171338, 43.6411393248951], [-79.4988676862503, 43.6411663281083], [-79.4987689250842, 43.641193331215], [-79.4986802530883, 43.6412203343531], [-79.4985996998367, 43.6412338354584], [-79.4985264965894, 43.6412473456033], [-79.4983440946171, 43.6413193451109], [-79.4982217230679, 43.6412788370823], [-79.4979103328058, 43.6412428263114], [-79.497543201912, 43.6412608217624], [-79.4974374625572, 43.6412698388195], [-79.4973317357656, 43.6412743370885], [-79.4972112840804, 43.6412788259001], [-79.4970668477962, 43.6413013257246], [-79.4969150124665, 43.6413103231036], [-79.4967601029673, 43.6413238208817], [-79.4966260781999, 43.6413418287573], [-79.4964649574938, 43.6413778293908], [-79.4963480118738, 43.6414048298412], [-79.4962054688069, 43.6414678348268], [-79.4961125061047, 43.6415038372048], [-79.4960544229515, 43.6415263386531], [-79.4958572773565, 43.6416343661842], [-79.4954993724478, 43.6420529075811]]]}"
7,1785974, ,2021-04-12,Local Road Reconstruction,HIGH ST<br> From: THE QUEENSWAY<br> To: WHITWORTH AVE ,"Replacement of the entire road pavement structure, including the asphalt and underlying support materials. Repair, improvement, or replacement of: road drainage, curbs, boulevards and sidewalks. Work may include the closure of individual lanes or the entire road.  Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q4 2021 - Q2 2024 (Carry-Over),Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Lucas Da Costa, Engineering and Construction Services",ldacost@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2021,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.4830749160358, 43.6306426427261], [-79.4832618206579, 43.6310854127189], [-79.4833048071206, 43.6311872697521], [-79.4836945378776, 43.6320739810142], [-79.483880705948, 43.6325240859115]]]}"
8,1785975, ,2021-04-12,Local Road Reconstruction,HIGH ST<br> From: WHITWORTH AVE<br> To: [175 m N] WHITWORTH AVE [END] ,"Replacement of the entire road pavement structure, including the asphalt and underlying support materials. Repair, improvement, or replacement of: road drainage, curbs, boulevards and sidewalks. Work may include the closure of individual lanes or the entire road.  Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q4 2021 - Q2 2024 (Carry-Over),Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Lucas Da Costa, Engineering and Construction Services",ldacost@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2021,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.483880705948, 43.6325240859115], [-79.4839615851943, 43.6327446223248], [-79.4841140885193, 43.6331362130357], [-79.4841725280045, 43.6332532391917], [-79.4842971762655, 43.6334467952295], [-79.4843548639355, 43.633550301098], [-79.4845341036173, 43.6339913934776]]]}"
9,1786116, ,2021-04-12,Local Road Reconstruction,KING HENRYS BLVD<br> From: BONIS AVE<br> To: [186 m N] BONIS AVE [CUL-DE-SAC] ,"Replacement of the entire road pavement structure, including the asphalt and underlying support materials. Repair, improvement, or replacement of: road drainage, curbs, boulevards and sidewalks. Work may include the closure of individual lanes or the entire road.  Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q2 2026 - Q4 2026,Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Marfique Ahmed, Engineering and Construction Services",mahmed2@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2026,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.2971628602789, 43.7841131106807], [-79.2972499851166, 43.7843022803599], [-79.2972909208699, 43.7843653609999], [-79.2973923332135, 43.7844555432873], [-79.2974473803889, 43.784482644297], [-79.29750785697, 43.7845097548994], [-79.2975815584364, 43.7845278877458], [-79.2986236373437, 43.7847547482337], [-79.2987299654279, 43.7847729378201], [-79.2987920562911, 43.7847820482918], [-79.298832332035, 43.7848091136265], [-79.2989113979882, 43.7848542584952], [-79.2990159622097, 43.7849354527352]]]}"
10,1786148, ,2021-04-12,Local Road Reconstruction,FISHERY RD<br> From: CALVERLEY TRL<br> To: FISHERY RD ,"Replacement of the entire road pavement structure, including the asphalt and underlying support materials. Repair, improvement, or replacement of: road drainage, curbs, boulevards and sidewalks. Work may include the closure of individual lanes or the entire road.  Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q4 2022 - Q3 2024 (Carry-Over),Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Matthew McAinsh, Engineering and Construction Services",mmcains@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2022,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.1776297974364, 43.791239012935], [-79.1772388837659, 43.7914359615636], [-79.1771478224399, 43.7914717178966], [-79.1770506937168, 43.7914804446156], [-79.1769280405495, 43.7914711058409], [-79.1766585567111, 43.7914703617623], [-79.1764606320613, 43.7914535365955]], [[-79.1764606320613, 43.7914535365955], [-79.1754551933911, 43.7915254133352], [-79.1754268585608, 43.7915285012695], [-79.1753985204148, 43.7915322012643], [-79.1753702658821, 43.7915365225676], [-79.1753422812467, 43.791541483711], [-79.1753145670924, 43.7915469766827], [-79.1752870487196, 43.7915530282741], [-79.1752598127646, 43.7915597017394], [-79.1752328094275, 43.7915670149395], [-79.1752060393409, 43.7915748508618], [-79.1751977007994, 43.7915796067658], [-79.1751888677227, 43.7915839022061], [-79.1751795276367, 43.7915877461481], [-79.1751698057717, 43.7915909589251], [-79.1751597264912, 43.7915936306175], [-79.1751493892971, 43.7915957435058], [-79.1751389434905, 43.7915972620097], [-79.1751282646706, 43.791598212779], [-79.1751175895561, 43.7915984794719], [-79.1751068803344, 43.7915981609933], [-79.1750962111199, 43.791597338564], [-79.1750857819401, 43.7915957877244], [-79.1750754800393, 43.7915936791756], [-79.1750654296728, 43.7915910132708], [-79.1750556310358, 43.7915877540061], [-79.1750463322971, 43.7915839650951], [-79.175037409007, 43.7915796821886], [-79.1750289853717, 43.7915749146411], [-79.1750211981205, 43.7915696538401], [-79.1750138729063, 43.7915639712993], [-79.1750072082444, 43.7915579215899], [-79.1750012791267, 43.7915514239151], [-79.1749959603225, 43.7915446579416], [-79.1749915501411, 43.7915376065154], [-79.1749877122648, 43.7915304216996], [-79.1746688389607, 43.7907732303238], [-79.1746651663627, 43.7907653708817], [-79.1746622271528, 43.7907574595203], [-79.1746600098332, 43.7907493251854], [-79.1746586874792, 43.7907411303902], [-79.1746581354954, 43.7907329377878], [-79.1746585406521, 43.790724675901], [-79.1746597033624, 43.7907164881797], [-79.1746616112496, 43.7907083655875], [-79.174664524952, 43.7907003628732], [-79.1746680339457, 43.7906925688792], [-79.1746724244032, 43.7906849124113], [-79.1746775588159, 43.790677546097], [-79.1746834372323, 43.7906704609354], [-79.1746899350086, 43.7906637285805], [-79.1746971763978, 43.790657349386], [-79.1747050241357, 43.7906514309746], [-79.1747135283139, 43.7906459014797], [-79.1747224899811, 43.7906407873383], [-79.1747319333047, 43.790636214635], [-79.1747418090717, 43.7906320932182], [-79.1747453817715, 43.7906308792315], [-79.1747521287314, 43.7906286031431], [-79.1747627068317, 43.7906255728603], [-79.174773505121, 43.7906231822836], [-79.1747846979929, 43.7906213508989], [-79.1747959000683, 43.790620113614], [-79.1748072229312, 43.7906195157522], [-79.1759610157978, 43.7903551891199], [-79.1759723548901, 43.7903515758088], [-79.1759829195314, 43.7903487163963], [-79.1759937416008, 43.7903465057942], [-79.1760046851017, 43.7903448176011], [-79.1760158866147, 43.7903436702064], [-79.1760271966484, 43.7903431351952], [-79.1760383538353, 43.790343292837], [-79.1760495456241, 43.7903439456381], [-79.1760607339615, 43.7903452375089], [-79.1760716705374, 43.7903471317409], [-79.1760824429122, 43.7903495205689], [-79.176092876598, 43.7903525025108], [-79.176103046341, 43.7903560417741], [-79.1761128280347, 43.7903601110037], [-79.1761221226662, 43.79036463791], [-79.1761310538563, 43.7903697398582], [-79.1761393492216, 43.7903752360539], [-79.176147033224, 43.7903811985756], [-79.1761542058484, 43.7903875196931], [-79.1761606185414, 43.7903942077034], [-79.1761664085637, 43.7904011549819], [-79.1761714760271, 43.7904084512571], [-79.1761757968586, 43.7904159524426], [-79.1761793460129, 43.7904236944722], [-79.1761820368533, 43.7904316140925], [-79.176184105848, 43.7904396399646], [-79.176185180482, 43.7904477260272], [-79.1761854964947, 43.7904559359563], [-79.1761840964598, 43.7904643930551], [-79.1763039872771, 43.7907434167613], [-79.1763155524404, 43.7907646921897], [-79.1763262711833, 43.7907862442548], [-79.1763362182999, 43.7908080281632], [-79.1763452701675, 43.7908299265501], [-79.1763534761466, 43.7908520025635], [-79.1763609603926, 43.7908742745575], [-79.1763675367674, 43.7908966969993], [-79.1763732676882, 43.7909192160592], [-79.1763781283033, 43.7909418316668], [-79.1763829517916, 43.7909644201656], [-79.1764606320613, 43.7914535365955]]]}"
