"date","oh_region","icu_current_covid","icu_current_covid_vented","hospitalizations","icu_crci_total","icu_crci_total_vented","icu_former_covid","icu_former_covid_vented"
"2020-04-01","CENTRAL",46,34,115,0,0,0,0
"2020-04-02","CENTRAL",51,46,129,0,0,0,0
"2020-04-03","CENTRAL",58,52,148,0,0,0,0
"2020-04-04","CENTRAL",57,49,161,0,0,0,0
"2020-04-05","CENTRAL",62,49,154,0,0,0,0
"2020-04-06","CENTRAL",69,58,167,0,0,0,0
"2020-04-07","CENTRAL",67,55,167,0,0,0,0
"2020-04-08","CENTRAL",75,61,177,0,0,0,0
"2020-04-09","CENTRAL",69,57,182,0,0,0,0
"2020-04-10","CENTRAL",70,58,185,0,0,0,0
"2020-04-11","CENTRAL",73,52,189,0,0,0,0
"2020-04-12","CENTRAL",71,61,205,0,0,0,0
"2020-04-13","CENTRAL",68,54,216,0,0,0,0
"2020-04-14","CENTRAL",65,52,212,0,0,0,0
"2020-04-15","CENTRAL",63,46,213,0,0,0,0
"2020-04-16","CENTRAL",63,52,224,0,0,0,0
"2020-04-17","CENTRAL",65,52,231,0,0,0,0
"2020-04-18","CENTRAL",64,54,239,0,0,0,0
"2020-04-19","CENTRAL",62,52,244,0,0,0,0
"2020-04-20","CENTRAL",62,53,238,0,0,0,0
"2020-04-21","CENTRAL",61,50,241,0,0,0,0
"2020-04-22","CENTRAL",63,49,267,0,0,0,0
"2020-04-23","CENTRAL",65,52,272,0,0,0,0
"2020-04-24","CENTRAL",66,54,286,0,0,0,0
"2020-04-25","CENTRAL",67,51,284,0,0,0,0
"2020-04-26","CENTRAL",67,53,276,0,0,0,0
"2020-04-27","CENTRAL",65,47,275,0,0,0,0
"2020-04-28","CENTRAL",66,49,290,0,0,0,0
"2020-04-29","CENTRAL",67,48,299,0,0,0,0
"2020-04-30","CENTRAL",61,48,301,0,0,0,0
"2020-05-01","CENTRAL",59,40,303,62,48,3,8
"2020-05-02","CENTRAL",63,46,303,66,47,3,1
"2020-05-03","CENTRAL",63,50,305,66,52,3,2
"2020-05-04","CENTRAL",63,51,302,66,53,3,2
"2020-05-05","CENTRAL",59,47,303,64,51,5,4
"2020-05-06","CENTRAL",58,47,299,60,49,2,2
"2020-05-07","CENTRAL",57,45,305,59,47,2,2
"2020-05-08","CENTRAL",54,45,281,57,49,3,4
"2020-05-09","CENTRAL",52,42,289,55,45,3,3
"2020-05-10","CENTRAL",50,41,297,55,46,5,5
"2020-05-11","CENTRAL",51,39,304,55,41,4,2
"2020-05-12","CENTRAL",51,37,313,54,39,3,2
"2020-05-13","CENTRAL",51,36,311,53,38,2,2
"2020-05-14","CENTRAL",51,38,319,54,40,3,2
"2020-05-15","CENTRAL",52,40,304,55,42,3,2
"2020-05-16","CENTRAL",46,38,310,49,39,3,1
"2020-05-17","CENTRAL",46,37,308,50,39,4,2
"2020-05-18","CENTRAL",46,36,312,55,42,9,6
"2020-05-19","CENTRAL",45,33,311,55,40,10,7
"2020-05-20","CENTRAL",45,34,297,55,41,10,7
"2020-05-21","CENTRAL",44,34,283,55,42,11,8
"2020-05-22","CENTRAL",40,33,273,54,42,14,9
"2020-05-23","CENTRAL",42,30,277,57,44,15,14
"2020-05-24","CENTRAL",41,32,267,55,45,14,13
"2020-05-25","CENTRAL",43,34,272,57,46,14,12
"2020-05-26","CENTRAL",45,36,267,57,45,12,9
"2020-05-27","CENTRAL",45,32,266,57,42,12,10
"2020-05-28","CENTRAL",41,33,268,54,41,13,8
"2020-05-29","CENTRAL",41,30,253,53,41,12,11
"2020-05-30","CENTRAL",42,32,254,55,39,13,7
"2020-05-31","CENTRAL",43,33,266,53,39,10,6
"2020-06-01","CENTRAL",43,32,270,52,39,9,7
"2020-06-02","CENTRAL",43,35,268,51,42,8,7
"2020-06-03","CENTRAL",37,29,263,45,34,8,5
"2020-06-04","CENTRAL",38,30,243,46,36,8,6
"2020-06-05","CENTRAL",36,31,234,44,36,8,5
"2020-06-06","CENTRAL",36,30,223,42,36,6,6
"2020-06-07","CENTRAL",36,30,209,42,36,6,6
"2020-06-08","CENTRAL",36,29,211,42,34,6,5
"2020-06-09","CENTRAL",36,28,193,42,33,6,5
"2020-06-10","CENTRAL",38,28,178,44,33,6,5
"2020-06-11","CENTRAL",37,25,170,43,31,6,6
"2020-06-12","CENTRAL",37,14,162,43,28,6,14
"2020-06-13","CENTRAL",37,23,153,43,29,6,6
"2020-06-14","CENTRAL",33,16,150,40,23,7,7
"2020-06-15","CENTRAL",31,17,138,39,24,8,7
"2020-06-16","CENTRAL",26,15,133,34,22,8,7
"2020-06-17","CENTRAL",25,12,128,33,17,8,5
"2020-06-18","CENTRAL",22,15,126,30,18,8,3
"2020-06-19","CENTRAL",23,16,119,31,22,8,6
"2020-06-20","CENTRAL",24,18,113,33,23,9,5
"2020-06-21","CENTRAL",19,14,118,31,20,12,6
"2020-06-22","CENTRAL",20,15,111,32,20,12,5
"2020-06-23","CENTRAL",19,15,109,29,22,10,7
"2020-06-24","CENTRAL",17,16,105,27,22,10,6
"2020-06-25","CENTRAL",16,14,100,27,20,11,6
"2020-06-26","CENTRAL",15,13,93,25,19,10,6
"2020-06-27","CENTRAL",15,12,97,25,17,10,5
"2020-06-28","CENTRAL",15,12,90,25,17,10,5
"2020-06-29","CENTRAL",13,12,94,22,16,9,4
"2020-06-30","CENTRAL",15,12,49,20,16,5,4
"2020-07-01","CENTRAL",17,11,50,24,15,7,4
"2020-07-02","CENTRAL",17,11,47,24,15,7,4
"2020-07-03","CENTRAL",0,0,42,0,0,0,0
"2020-07-04","CENTRAL",17,9,41,23,10,6,1
"2020-07-05","CENTRAL",17,9,41,22,11,5,2
"2020-07-06","CENTRAL",16,11,39,21,13,5,2
"2020-07-07","CENTRAL",16,12,38,20,13,4,1
"2020-07-08","CENTRAL",15,11,35,19,12,4,1
"2020-07-09","CENTRAL",16,11,41,19,12,3,1
"2020-07-10","CENTRAL",13,9,33,17,11,4,2
"2020-07-11","CENTRAL",12,9,32,16,11,4,2
"2020-07-12","CENTRAL",10,8,31,13,9,3,1
"2020-07-13","CENTRAL",10,10,33,13,12,3,2
"2020-07-14","CENTRAL",11,11,33,13,13,2,2
"2020-07-15","CENTRAL",12,10,28,14,12,2,2
"2020-07-16","CENTRAL",12,11,26,15,13,3,2
"2020-07-17","CENTRAL",13,11,23,17,13,4,2
"2020-07-18","CENTRAL",13,10,24,16,12,3,2
"2020-07-19","CENTRAL",13,11,25,16,13,3,2
"2020-07-20","CENTRAL",13,10,29,16,12,3,2
"2020-07-21","CENTRAL",14,9,29,17,11,3,2
"2020-07-22","CENTRAL",14,8,22,17,9,3,1
"2020-07-23","CENTRAL",13,8,23,16,10,3,2
