"report_date","previous_day_total_doses_administered","previous_day_at_least_one","previous_day_fully_vaccinated","previous_day_3doses","total_doses_administered","total_individuals_at_least_one","total_individuals_partially_vaccinated","total_doses_in_fully_vaccinated_individuals","total_individuals_fully_vaccinated","total_individuals_3doses"
2021-01-01,6256,6246,2,,32275,32218,32207,22,11,
2021-01-02,4618,4606,6,,36893,36772,36759,26,13,
2021-01-03,5400,5392,4,,42293,42162,42147,30,15,
2021-01-04,5998,5995,0,,48291,48156,48142,28,14,
2021-01-05,9693,9668,21,,57984,57822,57788,68,34,
2021-01-06,12803,12337,451,,70787,70156,69674,964,482,
2021-01-07,16232,15518,700,,87019,85673,84491,2364,1182,
2021-01-08,18052,17034,1005,,105071,102707,100520,4374,2187,
2021-01-09,19522,18441,1068,,124593,121146,117892,6508,3254,
2021-01-10,11380,11338,40,,135973,132475,129182,6586,3293,
2021-01-11,11720,11667,50,,147693,144141,140798,6686,3343,
2021-01-12,14489,14179,301,,162182,158311,154668,7286,3643,
2021-01-13,15451,13822,1598,,177633,172119,166880,10478,5239,
2021-01-14,19204,16748,2439,,196837,188861,181184,15354,7677,
2021-01-15,20099,18040,2039,,216936,206890,197174,19432,9716,
2021-01-16,17128,15941,1173,,234064,222815,211926,21778,10889,
2021-01-17,11275,10031,1237,,245339,232831,220707,24248,12124,
2021-01-18,6809,6724,75,,252148,239531,227336,24390,12195,
2021-01-19,11842,9732,2096,,263990,249242,234951,28582,14291,
2021-01-20,10821,7230,3574,,274811,256449,238585,35728,17864,
2021-01-21,10992,6866,4098,,285803,263299,241337,43924,21962,
2021-01-22,9057,4337,4699,,294860,267599,240940,53318,26659,
2021-01-23,7492,3071,4393,,302352,270640,239589,62102,31051,
2021-01-24,4409,1846,2542,,306761,272468,238875,67186,33593,
2021-01-25,5338,1062,4267,,312099,273498,235639,75718,37859,
2021-01-26,9431,2898,6504,,321530,276364,232002,88724,44362,
2021-01-27,9915,2875,7011,,331445,279210,227838,102744,51372,
2021-01-28,13155,5771,7340,,344600,284948,226236,117424,58712,
2021-01-29,10753,3336,7380,,355353,288253,222162,132182,66091,
2021-01-30,9229,2758,6432,,364582,290968,218449,145038,72519,
2021-01-31,3405,1586,1770,,367987,292520,218232,148576,74288,
2021-02-01,2139,499,1611,,370126,292984,217090,151788,75894,
2021-02-02,4440,1380,3001,,374566,294326,215435,157782,78891,
2021-02-03,6277,1752,4462,,380843,296037,212691,166692,83346,
2021-02-04,9125,1747,7296,,389968,297741,207105,181272,90636,
2021-02-05,8491,1500,6909,,398459,299201,201662,195078,97539,
2021-02-06,10694,1892,8741,,409153,301038,194767,212542,106271,
2021-02-07,7599,1744,5798,,416752,302742,190685,224114,112057,
2021-02-08,8234,3101,5084,,424986,305795,188667,234256,117128,
2021-02-09,15039,3882,11087,,440025,309635,181436,256398,128199,
2021-02-10,15535,4952,10521,,455560,314534,175840,277388,138694,
2021-02-11,16384,3907,12416,,471944,318389,167310,302158,151079,
2021-02-12,17709,2123,15531,,489653,320473,153883,333180,166590,
2021-02-13,16228,2453,13757,,505881,322881,142553,360656,180328,
2021-02-14,12895,931,11930,,518776,323764,131536,384456,192228,
2021-02-15,7875,490,7332,,526651,324206,124672,399068,199534,
2021-02-16,6013,1050,4907,,532664,325213,120795,408836,204418,
2021-02-17,10187,1619,8533,,542851,326788,113865,425846,212923,
2021-02-18,13905,2973,10880,,556756,329713,105940,447546,223773,
2021-02-19,18515,6221,12218,,575271,335882,99922,471920,235960,
2021-02-20,22650,11144,11454,,597921,346963,99587,494752,247376,
2021-02-21,17264,10396,6834,,615185,357299,103131,508336,254168,
2021-02-22,13602,8765,4780,,628787,365995,107096,517798,258899,
2021-02-23,17902,11143,6683,,646689,377082,111536,531092,265546,
2021-02-24,18612,13632,4895,,665301,390658,120259,540798,270399,
2021-02-25,20833,16498,4276,,686134,407090,132463,549254,274627,
2021-02-26,24960,21859,3036,,711094,428889,151263,555252,277626,
2021-02-27,27504,23607,3853,,738598,452432,171001,562862,281431,
